FILE,DS_TCC,DS_CYCLO,DS_CM,DS_NOAM,DS_NOPA,DS_CC,DS_LOCM,DS_NOAV,DS_WMC,DS_ATFD,DS_LOCC,DS_MAXNESTING,DS_WOC
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Case/QueuedCasesAssigned.aspx.cs_new.cs,0.08333333333333333,2.0,1.0,10.0,4.9E-324,4.9E-324,8.0,3.0,12.0,4.9E-324,56.0,1.0,2.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/CaseController.cs_new.cs,4.9E-324,53.0,5.0,8.0,4.9E-324,4.0,64.0,31.0,101.0,28.0,466.0,5.0,2.6
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/LinkTypeController.cs_new.cs,4.9E-324,3.0,1.0,4.9E-324,4.9E-324,1.0,16.0,6.0,10.0,2.0,65.0,2.0,4.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/CausativeFactorModel.cs_new.cs,4.9E-324,1.0,1.0,2.0,1.0,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,0.5
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/CallerModel.cs_new.cs,4.9E-324,1.0,1.0,33.0,16.0,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,0.058823529411764705
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/PublicationModel.cs_new.cs,4.9E-324,1.0,1.0,2.0,1.0,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,0.5
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/CallerController.cs_new.cs,4.9E-324,33.0,3.0,1.0,4.9E-324,2.0,76.0,22.0,46.0,18.0,179.0,2.0,3.3333333333333335
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/CaseTypeModel.cs_new.cs,4.9E-324,1.0,1.0,4.9E-324,4.9E-324,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/BaseModel.cs_new.cs,4.9E-324,1.0,35.0,7.0,3.0,35.0,2.0,4.9E-324,1.0,1.0,2.0,4.9E-324,0.25
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/CallerDescriptionController.cs_new.cs,4.9E-324,3.0,1.0,4.9E-324,4.9E-324,4.9E-324,17.0,6.0,10.0,2.0,66.0,2.0,4.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/CaSEStatusModel.cs_new.cs,4.9E-324,1.0,1.0,4.9E-324,4.9E-324,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/CareerStatusTypeModel.cs_new.cs,4.9E-324,1.0,1.0,4.9E-324,4.9E-324,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Case/Notes.aspx.cs_new.cs,4.9E-324,7.0,2.0,4.9E-324,4.9E-324,4.9E-324,59.0,12.0,12.0,4.9E-324,83.0,4.0,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/OrganizationCatModel.cs_new.cs,4.9E-324,1.0,1.0,2.0,1.0,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,0.5
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/IssueDomainModel.cs_new.cs,4.9E-324,1.0,1.0,4.9E-324,4.9E-324,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/NaiscCodeModel.cs_new.cs,4.9E-324,1.0,1.0,2.0,1.0,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,0.5
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/ProductModel.cs_new.cs,4.9E-324,1.0,1.0,4.9E-324,4.9E-324,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Includes/Queue.Master.cs_new.cs,4.9E-324,2.0,5.0,2.0,4.9E-324,1.0,5.0,4.9E-324,11.0,4.9E-324,37.0,1.0,3.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Utils/Tree.cs_new.cs,1.0,3.0,4.0,7.0,3.0,3.0,22.0,7.0,8.0,1.0,45.0,2.0,0.4444444444444444
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Case/UpdateCallStatus.aspx.cs_new.cs,0.09523809523809523,5.0,2.0,4.0,1.0,4.9E-324,25.0,8.0,16.0,6.0,55.0,2.0,0.4
