FILE,DS_TCC,DS_CYCLO,DS_CM,DS_NOAM,DS_NOPA,DS_CC,DS_LOCM,DS_NOAV,DS_WMC,DS_ATFD,DS_LOCC,DS_MAXNESTING,DS_WOC
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/PublicationTypeModel.cs_new.cs,4.9E-324,1.0,1.0,4.9E-324,4.9E-324,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/CallController.cs_new.cs,4.9E-324,9.0,3.0,1.0,4.9E-324,3.0,25.0,10.0,19.0,6.0,120.0,2.0,3.3333333333333335
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/IssueConcernModel.cs_new.cs,4.9E-324,1.0,1.0,14.0,7.0,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,0.125
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/SassParticipationTypeController.cs_new.cs,4.9E-324,3.0,1.0,4.9E-324,4.9E-324,4.9E-324,16.0,6.0,10.0,2.0,65.0,2.0,4.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/EmailTemplateModel.cs_new.cs,4.9E-324,1.0,1.0,4.0,2.0,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,0.3333333333333333
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Includes/Sub.Master.cs_new.cs,4.9E-324,2.0,5.0,2.0,4.9E-324,4.9E-324,5.0,4.9E-324,11.0,4.9E-324,37.0,1.0,3.0
FILE:test/minicorlib/DataRow.cs,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Case/Career.aspx.cs_new.cs,4.9E-324,4.0,1.0,4.9E-324,4.9E-324,4.9E-324,18.0,5.0,7.0,3.0,40.0,1.0,1.0
FILE:test/minicorlib/System/Object.cs_new.cs,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/StateModel.cs_new.cs,4.9E-324,1.0,1.0,2.0,1.0,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,0.5
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Search.aspx.cs_new.cs,0.027777777777777776,8.0,1.0,4.0,4.9E-324,4.9E-324,43.0,12.0,24.0,4.9E-324,131.0,2.0,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/ContactMethodModel.cs_new.cs,4.9E-324,1.0,1.0,4.9E-324,4.9E-324,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/IssueConcernController.cs_new.cs,4.9E-324,15.0,2.0,4.0,4.9E-324,1.0,31.0,11.0,30.0,9.0,145.0,2.0,1.6666666666666667
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/PublicationController.cs_new.cs,4.9E-324,5.0,1.0,1.0,4.9E-324,1.0,18.0,7.0,15.0,3.0,88.0,2.0,3.3333333333333335
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Case/Controls/ucCaseMenu.ascx.cs_new.cs,0.10606060606060606,4.0,7.0,17.0,4.0,4.9E-324,32.0,13.0,24.0,8.0,173.0,2.0,0.15384615384615385
FILE:test/minicorlib/System/DateTime.cs_new.cs,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,0.5
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Default.aspx.cs_new.cs,4.9E-324,2.0,1.0,4.9E-324,4.9E-324,4.9E-324,24.0,5.0,8.0,2.0,58.0,1.0,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/OccupationalCatController.cs_new.cs,4.9E-324,5.0,1.0,1.0,4.9E-324,1.0,29.0,9.0,16.0,4.0,86.0,2.0,2.6666666666666665
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/ContactMethodController.cs_new.cs,4.9E-324,3.0,1.0,4.9E-324,4.9E-324,1.0,16.0,6.0,10.0,2.0,65.0,2.0,4.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Utils/Crypto.cs_new.cs,4.9E-324,3.0,1.0,4.9E-324,4.9E-324,4.9E-324,12.0,3.0,11.0,4.9E-324,48.0,2.0,5.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Hangups.aspx.cs_new.cs,4.9E-324,5.0,1.0,4.9E-324,4.9E-324,4.9E-324,14.0,3.0,9.0,4.9E-324,34.0,4.0,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/JobFunctionModel.cs_new.cs,4.9E-324,1.0,1.0,2.0,1.0,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,0.5
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/LanguageController.cs_new.cs,4.9E-324,3.0,1.0,4.9E-324,4.9E-324,4.9E-324,16.0,6.0,10.0,2.0,65.0,2.0,4.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Case/Controls/ucCallerInfo.ascx.cs_new.cs,4.9E-324,2.0,1.0,4.9E-324,4.9E-324,4.9E-324,8.0,1.0,5.0,4.9E-324,21.0,1.0,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Case/Default.aspx.cs_new.cs,0.007352941176470588,16.0,1.0,2.0,4.0,1.0,87.0,26.0,61.0,36.0,364.0,4.0,0.2
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/AddressModel.cs_new.cs,4.9E-324,1.0,1.0,18.0,9.0,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,0.1
FILE:test/minicorlib/System/Exception.cs_new.cs,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/RoleController.cs_new.cs,4.9E-324,3.0,1.0,4.9E-324,4.9E-324,4.9E-324,16.0,6.0,10.0,2.0,65.0,2.0,4.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/CallStatusModel.cs_new.cs,4.9E-324,1.0,1.0,4.9E-324,4.9E-324,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/PublicationTypeController.cs_new.cs,4.9E-324,4.0,1.0,4.9E-324,4.9E-324,4.9E-324,27.0,7.0,13.0,2.0,73.0,2.0,4.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Case/PrintCase.aspx.cs_new.cs,0.07692307692307693,4.0,3.0,5.0,2.0,4.9E-324,25.0,9.0,25.0,4.0,132.0,3.0,0.3333333333333333
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/CallerDescriptionModel.cs_new.cs,4.9E-324,1.0,1.0,4.9E-324,4.9E-324,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/OrganizationCatController.cs_new.cs,4.9E-324,4.0,1.0,1.0,4.9E-324,1.0,28.0,8.0,14.0,3.0,79.0,2.0,2.6666666666666665
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/CaseStatusController.cs_new.cs,4.9E-324,3.0,2.0,4.9E-324,4.9E-324,1.0,16.0,6.0,10.0,2.0,65.0,2.0,4.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/UserModel.cs_new.cs,4.9E-324,2.0,1.0,9.0,4.0,1.0,11.0,2.0,4.0,4.9E-324,17.0,1.0,0.6
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Case/SassScript.aspx.cs_new.cs,4.9E-324,1.0,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.0,4.9E-324,1.0,4.9E-324,4.0,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/VetMilModel.cs_new.cs,4.9E-324,1.0,1.0,4.9E-324,4.9E-324,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/CaseNoteModel.cs_new.cs,4.9E-324,1.0,6.0,10.0,5.0,4.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,0.16666666666666666
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Classes/CheckBoxListValidator.cs_new.cs,4.9E-324,3.0,1.0,4.9E-324,4.9E-324,4.9E-324,47.0,2.0,9.0,4.9E-324,79.0,2.0,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Case/Email.aspx.cs_new.cs,4.9E-324,14.0,5.0,4.9E-324,4.9E-324,4.9E-324,85.0,19.0,59.0,14.0,368.0,3.0,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/OccupationalCatModel.cs_new.cs,4.9E-324,1.0,1.0,4.0,2.0,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,0.3333333333333333
